Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,PlagueCarrier+5718,1143.5170048919733,30,5.0,16.7%,1184,-4
-,Soluna+2127,1142.1047842069122,0,0.0,0.0%,1142,0
-,CoxyNormus+5176,1140.2875657968652,0,0.0,0.0%,1140,0
-,Lokfok+5204,1140.0703670012758,0,0.0,0.0%,1140,0
-,polyphemur+3699,1139.7847275122995,29,5.0,17.2%,1200,-8
-,NattyKash+316,1139.7027277066054,0,0.0,0.0%,1140,0
-,Blank+7029,1138.0064503496383,1,0.0,0.0%,1143,-8
-,Podge0303+8578,1137.795251495212,1,0.0,0.0%,1155,-20
-,ellbelle+9011,1136.990082529455,4,1.0,25.0%,1175,-7
-,Awesem+1966,1136.544049357087,5,0.0,0.0%,1207,-19
-,Fearteiler+8050,1135.2757386871122,12,1.0,8.3%,1168,-5
-,DGDKami+9860,1134.6166402064248,4,0.0,0.0%,1200,-9
-,DarkPortents+1248,1134.4605077590547,4,0.0,0.0%,1200,-16
-,Krooter+8646,1133.2501798110338,0,0.0,0.0%,1133,0
-,Gagneto+8499,1131.175750029343,0,0.0,0.0%,1131,0
-,FatBoyyy+6258,1131.1035609785808,1,0.0,0.0%,1145,-16
-,PeskyPaul+5583,1129.4477598132953,7,0.5,7.1%,1200,+26
-,Ironic+3891,1129.3976440922688,0,0.0,0.0%,1129,0
-,TheSillyBilly+6135,1129.3631397141992,2,0.0,0.0%,1158,-16
-,optimusprawn+9866,1128.7009137706368,3,0.0,0.0%,1153,-9
-,Viggs+9470,1128.0702293591303,5,0.0,0.0%,1200,-6
-,legrandgrand+9040,1127.7652276867968,5,0.0,0.0%,1200,-14
-,Darkwonderer+1035,1127.725215854251,6,1.0,16.7%,1148,-8
-,Sharkskln+6071,1127.63124351996,1,0.0,0.0%,1136,-11
-,ReoWulf+5368,1127.442413684652,0,0.0,0.0%,1127,0
